Date,add,remove
2019-01-02,['FRC'],['SCG']
2019-01-18,['TFX'],['PCG']
2019-02-15,['ATO'],['NFX']
2019-02-27,['WAB'],['GT']
2019-03-19,"['FOXA', 'FOX']","['FOXA', 'FOX']"
2019-04-02,['DOW'],['BHF']
2019-06-03,"['DD', 'CTVA']","['DWDP', 'FLR']"
2019-06-07,['BMS'],['MAT']
2019-06-11,['AMCR'],['BMS']
2019-07-01,['MKTX'],['LLL']
2019-07-15,['TMUS'],['RHT']
2019-08-09,"['LDOS', 'IEX']","['APC', 'FL']"
2019-09-23,['CDW'],['TSS']
2019-09-26,['NVR'],['JEF']
2019-10-03,['LVS'],['NKTR']
2019-11-21,['NOW'],['CELG']
2019-12-05,['WRB'],['VIAB']
2019-12-09,['ODFL'],['STI']
2019-12-23,"['LYV', 'ZBRA', 'STE']","['AMG', 'TRIP', 'MAC']"
2020-01-28,['PAYC'],['WCG']
2020-03-02,['IR'],['XEC']
2020-04-01,['HWM'],['ARNC']
2020-04-03,"['OTIS', 'CARR']",[]
2020-04-06,[],"['M', 'RTN']"
2020-05-12,"['DPZ', 'DXCM']","['CPRI', 'AGN']"
2020-05-22,['WST'],['HP']
2020-06-22,"['BIO', 'TDY', 'TYL']","['ADS', 'HOG', 'JWN']"
2020-09-21,"['ETSY', 'TER', 'CTLT']","['HRB', 'COTY', 'KSS']"
2020-10-07,['POOL'],['ETFC']
2020-10-09,['VNT'],[]
2020-10-12,[],['NBL']
2020-12-21,['TSLA'],['AIV']
2021-01-07,['ENPH'],['TIF']
2021-01-21,['TRMB'],['CXO']
2021-02-12,['MPWR'],['FTI']
2021-03-22,"['NXPI', 'PENN', 'GNRC', 'CZR']","['FLS', 'SLG', 'XRX', 'VNT']"
2021-04-20,['PTC'],['VAR']
2021-05-14,['CRL'],['FLIR']
2021-06-03,['OGN'],[]
2021-06-04,[],['HFC']
2021-07-21,['MRNA'],['ALXN']
2021-08-30,['TECH'],['MXIM']
2021-09-20,"['MTCH', 'CDAY', 'BRO']","['PRGO', 'UNM', 'NOV']"
2021-12-14,['EPAM'],['KSU']
2021-12-20,"['SBNY', 'SEDG', 'FDS']","['LEG', 'HBI', 'WU']"
2022-02-02,['CEG'],[]
2022-02-03,[],['GPS']
2022-02-15,['NDSN'],['XLNX']
2022-03-02,['MOH'],['INFO']
2022-04-04,['CPT'],['PBCT']
2022-04-11,['WBD'],"['DISCA', 'DISCK']"
2022-06-08,['VICI'],['CERN']
2022-06-21,"['KDP', 'ON']","['UA', 'UAA', 'IPGP']"
2022-09-19,"['CSGP', 'INVH']","['PVH', 'PENN']"
2022-10-03,"['PCG', 'EQT']","['CTXS', 'DRE']"
2022-10-12,['TRGP'],['NLSN']
2022-11-01,['ACGL'],['TWTR']
2022-12-15,['MBC'],[]
2022-12-19,['FSLR'],"['FBHS', 'MBC']"
2022-12-22,['STLD'],['ABMD']
2023-01-04,['GEHC'],[]
2023-01-05,[],['VNO']
2023-03-15,"['BG', 'PODD']","['SBNY', 'SIVB']"
2023-03-20,['FICO'],['LUMN']
2023-05-04,['AXON'],['FRC']
2023-06-20,['PANW'],['DISH']
2023-08-25,['KVUE'],['AAP']
2023-09-18,"['BX', 'ABNB']","['LNC', 'NWL']"
2023-10-02,['VLTO'],[]
2023-10-03,[],['DXC']
2023-10-18,"['HUBB', 'LULU']","['OGN', 'ATVI']"
2023-12-18,"['UBER', 'JBL', 'BLDR']","['SEE', 'ALK', 'SEDG']"
2024-03-18,"['SMCI', 'DECK']","['WHR', 'ZION']"
2024-04-01,['SOLV'],[]
2024-04-02,['GEV'],[]
2024-04-03,[],"['XRAY', 'VFC']"
2024-05-08,['VST'],['PXD']
2024-06-24,"['KKR', 'CRWD', 'GDDY']","['RHI', 'CMA', 'ILMN']"
2024-09-23,"['PLTR', 'DELL', 'ERIE']","['AAL', 'ETSY', 'BIO']"
2024-09-30,['AMTM'],[]
2024-10-01,[],['BBWI']
2024-11-26,['TPL'],['MRO']
2024-12-23,"['APO', 'WDAY', 'LII']","['QRVO', 'AMTM', 'CTLT']"
2025-03-24,"['DASH', 'TKO', 'WSM', 'EXE']","['BWA', 'TFX', 'CE', 'FMC']"
