"symbol
date","AAVE/USD
","AVAX/USD
","BTC/USD
","CRV/USD
","DOGE/USD
","DOT/USD
","ETH/USD
","GRT/USD
","LINK/USD
","LTC/USD
","MKR/USD
","PEPE/USD
","SOL/USD
","UNI/USD
","XRP/USD
"
2024-11-07,183.4,27.38,75857.89,0.2619,0.19324,4.163,2895.47,0.157,12.59,71.45,1508.0,1.099e-05,196.35,8.901,0.5556
2024-11-08,181.94,28.78,76509.78,0.2708,0.20197,4.325,2961.75,0.1635,13.69,72.78,1483.0,1.076e-05,199.85,8.854,0.5537
2024-11-09,195.35,30.36,76677.46,0.2767,0.2189,4.63,3126.21,0.1713,13.78,73.98,1493.0,1.12e-05,199.89,9.244,0.5593
2024-11-10,190.06,31.89,80370.01,0.2845,0.27778,5.241,3183.21,0.1783,14.25,76.58,1468.0,1.232e-05,210.07,9.212,0.5884
2024-11-11,193.47,35.71,88647.99,0.2945,0.35136,5.71,3371.59,0.1996,14.91,80.03,1537.0,1.299e-05,222.13,9.332,0.6207
2024-11-12,179.17,33.96,87952.01,0.2769,0.37985,5.308,3243.8,0.1911,13.95,76.69,1518.0,1.413e-05,211.64,8.942,0.704
2024-11-13,173.21,33.12,90375.2,0.3147,0.39903,5.073,3187.16,0.1804,13.48,75.39,1487.0,2.081e-05,215.13,8.628,0.6898
2024-11-14,158.13,31.21,87325.59,0.2896,0.36254,4.775,3058.82,0.1721,13.0,82.38,1419.0,2.065e-05,209.57,8.178,0.7736
2024-11-15,164.4,33.13,91032.07,0.2903,0.3815,5.161,3090.01,0.1845,13.84,83.7,1434.0,2.333e-05,218.45,8.568,0.8922
2024-11-16,168.95,35.14,90586.92,0.336,0.36421,5.787,3132.87,0.2094,14.52,95.42,1503.0,2.13e-05,215.71,9.079,1.1209
2024-11-17,161.98,34.71,89855.99,0.32,0.36704,5.424,3076.0,0.1921,13.78,87.2,1478.0,2.121e-05,237.47,8.751,1.0543
2024-11-18,170.78,35.48,90464.08,0.3748,0.37113,6.008,3207.8,0.2186,15.26,89.22,1555.0,2.048e-05,239.79,9.242,1.1137
2024-11-19,161.95,34.2,92310.79,0.4082,0.39067,5.805,3107.44,0.2333,14.62,86.68,1493.0,1.968e-05,237.63,9.399,1.1003
2024-11-20,156.77,33.59,94286.56,0.3739,0.37778,5.724,3069.97,0.2208,14.24,83.38,1491.0,1.876e-05,235.48,8.814,1.1041
2024-11-21,169.23,35.84,98317.12,0.4051,0.38664,5.93,3355.81,0.2217,14.89,89.51,1638.0,2.07e-05,256.37,9.246,1.247
